ensembl_gene_id,gene_biotype,gene
ENSG00000088682,protein_coding,COQ9
ENSG00000088727,protein_coding,KIF9
ENSG00000088756,protein_coding,ARHGAP28
ENSG00000088766,protein_coding,CRLS1
ENSG00000088808,protein_coding,PPP1R13B
ENSG00000088812,protein_coding,ATRN
ENSG00000088826,protein_coding,SMOX
ENSG00000088827,protein_coding,SIGLEC1
ENSG00000088832,protein_coding,FKBP1A
ENSG00000088833,protein_coding,NSFL1C
ENSG00000088854,protein_coding,C20orf194
ENSG00000088876,protein_coding,ZNF343
ENSG00000088881,protein_coding,EBF4
ENSG00000088888,protein_coding,MAVS
ENSG00000088899,protein_coding,LZTS3
ENSG00000088930,protein_coding,XRN2
ENSG00000088986,protein_coding,DYNLL1
ENSG00000088992,protein_coding,TESC
ENSG00000089006,protein_coding,SNX5
ENSG00000089009,protein_coding,RPL6
ENSG00000089022,protein_coding,MAPKAPK5
ENSG00000089041,protein_coding,P2RX7
ENSG00000089048,protein_coding,ESF1
ENSG00000089050,protein_coding,RBBP9
ENSG00000089053,protein_coding,ANAPC5
ENSG00000089057,protein_coding,SLC23A2
ENSG00000089060,protein_coding,SLC8B1
ENSG00000089063,protein_coding,TMEM230
ENSG00000089091,protein_coding,DZANK1
ENSG00000089094,protein_coding,KDM2B
ENSG00000089101,protein_coding,CFAP61
ENSG00000089123,protein_coding,TASP1
ENSG00000089127,protein_coding,OAS1
ENSG00000089154,protein_coding,GCN1
ENSG00000089157,protein_coding,RPLP0
ENSG00000089159,protein_coding,PXN
ENSG00000089163,protein_coding,SIRT4
ENSG00000089169,protein_coding,RPH3A
ENSG00000089177,protein_coding,KIF16B
ENSG00000089195,protein_coding,TRMT6
ENSG00000089199,protein_coding,CHGB
ENSG00000089220,protein_coding,PEBP1
ENSG00000089234,protein_coding,BRAP
ENSG00000089248,protein_coding,ERP29
ENSG00000089250,protein_coding,NOS1
ENSG00000089280,protein_coding,FUS
ENSG00000089289,protein_coding,IGBP1
ENSG00000089327,protein_coding,FXYD5
ENSG00000089335,protein_coding,ZNF302
ENSG00000089351,protein_coding,GRAMD1A
ENSG00000089356,protein_coding,FXYD3
ENSG00000089472,protein_coding,HEPH
ENSG00000089486,protein_coding,CDIP1
ENSG00000089558,protein_coding,KCNH4
ENSG00000089597,protein_coding,GANAB
ENSG00000089639,protein_coding,GMIP
ENSG00000089682,protein_coding,RBM41
ENSG00000089693,protein_coding,MLF2
ENSG00000089723,protein_coding,OTUB2
ENSG00000089737,protein_coding,DDX24
ENSG00000089775,protein_coding,ZBTB25
ENSG00000089818,protein_coding,NECAP1
ENSG00000089847,protein_coding,ANKRD24
ENSG00000089876,protein_coding,DHX32
ENSG00000089902,protein_coding,RCOR1
ENSG00000089916,protein_coding,GPATCH2L
ENSG00000090006,protein_coding,LTBP4
ENSG00000090013,protein_coding,BLVRB
ENSG00000090020,protein_coding,SLC9A1
ENSG00000090054,protein_coding,SPTLC1
ENSG00000090060,protein_coding,PAPOLA
ENSG00000090061,protein_coding,CCNK
ENSG00000090097,protein_coding,PCBP4
ENSG00000090104,protein_coding,RGS1
ENSG00000090238,protein_coding,YPEL3
ENSG00000090263,protein_coding,MRPS33
ENSG00000090266,protein_coding,NDUFB2
ENSG00000090273,protein_coding,NUDC
ENSG00000090316,protein_coding,MAEA
ENSG00000090339,protein_coding,ICAM1
ENSG00000090372,protein_coding,STRN4
ENSG00000090376,protein_coding,IRAK3
ENSG00000090432,protein_coding,MUL1
ENSG00000090447,protein_coding,TFAP4
ENSG00000090470,protein_coding,PDCD7
ENSG00000090487,protein_coding,SPG21
ENSG00000090520,protein_coding,DNAJB11
ENSG00000090530,protein_coding,P3H2
ENSG00000090534,protein_coding,THPO
ENSG00000090565,protein_coding,RAB11FIP3
ENSG00000090581,protein_coding,GNPTG
ENSG00000090612,protein_coding,ZNF268
ENSG00000090615,protein_coding,GOLGA3
ENSG00000090621,protein_coding,PABPC4
ENSG00000090661,protein_coding,CERS4
ENSG00000090674,protein_coding,MCOLN1
ENSG00000090686,protein_coding,USP48
ENSG00000090776,protein_coding,EFNB1
ENSG00000090857,protein_coding,PDPR
ENSG00000090861,protein_coding,AARS
ENSG00000090863,protein_coding,GLG1
ENSG00000090889,protein_coding,KIF4A
ENSG00000090905,protein_coding,TNRC6A
ENSG00000090932,protein_coding,DLL3
ENSG00000090971,protein_coding,NAT14
ENSG00000090975,protein_coding,PITPNM2
ENSG00000090989,protein_coding,EXOC1
ENSG00000091009,protein_coding,RBM27
ENSG00000091039,protein_coding,OSBPL8
ENSG00000091073,protein_coding,DTX2
ENSG00000091106,protein_coding,NLRC4
ENSG00000091127,protein_coding,PUS7
ENSG00000091128,protein_coding,LAMB4
ENSG00000091129,protein_coding,NRCAM
ENSG00000091136,protein_coding,LAMB1
ENSG00000091137,protein_coding,SLC26A4
ENSG00000091138,protein_coding,SLC26A3
ENSG00000091140,protein_coding,DLD
ENSG00000091157,protein_coding,WDR7
ENSG00000091164,protein_coding,TXNL1
ENSG00000091262,protein_coding,ABCC6
ENSG00000091317,protein_coding,CMTM6
ENSG00000091409,protein_coding,ITGA6
ENSG00000091428,protein_coding,RAPGEF4
ENSG00000091436,protein_coding,MAP3K20
ENSG00000091482,protein_coding,SMPX
ENSG00000091483,protein_coding,FH
ENSG00000091490,protein_coding,SEL1L3
ENSG00000091513,protein_coding,TF
ENSG00000091527,protein_coding,CDV3
ENSG00000091536,protein_coding,MYO15A
ENSG00000091542,protein_coding,ALKBH5
ENSG00000091592,protein_coding,NLRP1
ENSG00000091622,protein_coding,PITPNM3
ENSG00000091640,protein_coding,SPAG7
ENSG00000091651,protein_coding,ORC6
ENSG00000091656,protein_coding,ZFHX4
ENSG00000091664,protein_coding,SLC17A6
ENSG00000091732,protein_coding,ZC3HC1
ENSG00000091831,protein_coding,ESR1
ENSG00000091844,protein_coding,RGS17
ENSG00000091879,protein_coding,ANGPT2
ENSG00000091947,protein_coding,TMEM101
ENSG00000091972,protein_coding,CD200
ENSG00000091986,protein_coding,CCDC80
ENSG00000092010,protein_coding,PSME1
ENSG00000092020,protein_coding,PPP2R3C
ENSG00000092051,protein_coding,JPH4
ENSG00000092054,protein_coding,MYH7
ENSG00000092068,protein_coding,SLC7A8
ENSG00000092094,protein_coding,OSGEP
ENSG00000092096,protein_coding,SLC22A17
ENSG00000092108,protein_coding,SCFD1
ENSG00000092140,protein_coding,G2E3
ENSG00000092148,protein_coding,HECTD1
ENSG00000092199,protein_coding,HNRNPC
ENSG00000092200,protein_coding,RPGRIP1
ENSG00000092201,protein_coding,SUPT16H
ENSG00000092203,protein_coding,TOX4
ENSG00000092208,protein_coding,GEMIN2
ENSG00000092330,protein_coding,TINF2
ENSG00000092377,protein_coding,TBL1Y
ENSG00000092421,protein_coding,SEMA6A
ENSG00000092439,protein_coding,TRPM7
ENSG00000092445,protein_coding,TYRO3
ENSG00000092470,protein_coding,WDR76
ENSG00000092529,protein_coding,CAPN3
ENSG00000092531,protein_coding,SNAP23
ENSG00000092607,protein_coding,TBX15
ENSG00000092621,protein_coding,PHGDH
ENSG00000092758,protein_coding,COL9A3
ENSG00000092820,protein_coding,EZR
ENSG00000092841,protein_coding,MYL6
ENSG00000092847,protein_coding,AGO1
ENSG00000092853,protein_coding,CLSPN
ENSG00000092871,protein_coding,RFFL
ENSG00000092929,protein_coding,UNC13D
ENSG00000092931,protein_coding,MFSD11
ENSG00000092964,protein_coding,DPYSL2
ENSG00000092969,protein_coding,TGFB2
ENSG00000092978,protein_coding,GPATCH2
ENSG00000093000,protein_coding,NUP50
ENSG00000093010,protein_coding,COMT
ENSG00000093072,protein_coding,ADA2
ENSG00000093144,protein_coding,ECHDC1
ENSG00000093167,protein_coding,LRRFIP2
ENSG00000093183,protein_coding,SEC22C
ENSG00000093217,protein_coding,XYLB
ENSG00000094631,protein_coding,HDAC6
ENSG00000094796,protein_coding,KRT31
ENSG00000094804,protein_coding,CDC6
ENSG00000094841,protein_coding,UPRT
ENSG00000094880,protein_coding,CDC23
ENSG00000094914,protein_coding,AAAS
ENSG00000094916,protein_coding,CBX5
ENSG00000094975,protein_coding,SUCO
ENSG00000095002,protein_coding,MSH2
ENSG00000095015,protein_coding,MAP3K1
ENSG00000095059,protein_coding,DHPS
ENSG00000095066,protein_coding,HOOK2
ENSG00000095139,protein_coding,ARCN1
ENSG00000095203,protein_coding,EPB41L4B
ENSG00000095209,protein_coding,TMEM38B
ENSG00000095261,protein_coding,PSMD5
ENSG00000095303,protein_coding,PTGS1
ENSG00000095319,protein_coding,NUP188
ENSG00000095321,protein_coding,CRAT
ENSG00000095370,protein_coding,SH2D3C
ENSG00000095380,protein_coding,NANS
ENSG00000095383,protein_coding,TBC1D2
ENSG00000095397,protein_coding,WHRN
ENSG00000095464,protein_coding,PDE6C
ENSG00000095485,protein_coding,CWF19L1
ENSG00000095539,protein_coding,SEMA4G
ENSG00000095564,protein_coding,BTAF1
ENSG00000095574,protein_coding,IKZF5
ENSG00000095585,protein_coding,BLNK
ENSG00000095587,protein_coding,TLL2
ENSG00000095596,protein_coding,CYP26A1
ENSG00000095627,protein_coding,TDRD1
ENSG00000095637,protein_coding,SORBS1
ENSG00000095713,protein_coding,CRTAC1
ENSG00000095739,protein_coding,BAMBI
ENSG00000095777,protein_coding,MYO3A
ENSG00000095787,protein_coding,WAC
ENSG00000095794,protein_coding,CREM
ENSG00000095906,protein_coding,NUBP2
ENSG00000095932,protein_coding,SMIM24
ENSG00000095951,protein_coding,HIVEP1
ENSG00000095970,protein_coding,TREM2
ENSG00000096060,protein_coding,FKBP5
ENSG00000096063,protein_coding,SRPK1
ENSG00000096070,protein_coding,BRPF3
ENSG00000096080,protein_coding,MRPS18A
ENSG00000096092,protein_coding,TMEM14A
ENSG00000096093,protein_coding,EFHC1
ENSG00000096384,protein_coding,HSP90AB1
ENSG00000096401,protein_coding,CDC5L
ENSG00000096433,protein_coding,ITPR3
ENSG00000096654,protein_coding,ZNF184
ENSG00000096717,protein_coding,SIRT1
ENSG00000096746,protein_coding,HNRNPH3
ENSG00000096872,protein_coding,IFT74
ENSG00000096968,protein_coding,JAK2
ENSG00000096996,protein_coding,IL12RB1
ENSG00000097007,protein_coding,ABL1
ENSG00000097021,protein_coding,ACOT7
ENSG00000097033,protein_coding,SH3GLB1
ENSG00000097046,protein_coding,CDC7
ENSG00000097096,protein_coding,SYDE2
ENSG00000099139,protein_coding,PCSK5
ENSG00000099194,protein_coding,SCD
ENSG00000099203,protein_coding,TMED1
ENSG00000099204,protein_coding,ABLIM1
ENSG00000099219,protein_coding,ERMP1
ENSG00000099246,protein_coding,RAB18
ENSG00000099250,protein_coding,NRP1
ENSG00000099256,protein_coding,PRTFDC1
ENSG00000099260,protein_coding,PALMD
ENSG00000099282,protein_coding,TSPAN15
ENSG00000099284,protein_coding,H2AFY2
ENSG00000099290,protein_coding,WASHC2A
ENSG00000099308,protein_coding,MAST3
ENSG00000099326,protein_coding,MZF1
ENSG00000099330,protein_coding,OCEL1
ENSG00000099331,protein_coding,MYO9B
ENSG00000099337,protein_coding,KCNK6
ENSG00000099338,protein_coding,CATSPERG
ENSG00000099341,protein_coding,PSMD8
ENSG00000099364,protein_coding,FBXL19
ENSG00000099365,protein_coding,STX1B
ENSG00000099381,protein_coding,SETD1A
ENSG00000099385,protein_coding,BCL7C
ENSG00000099622,protein_coding,CIRBP
ENSG00000099624,protein_coding,ATP5F1D
ENSG00000099625,protein_coding,CBARP
ENSG00000099715,protein_coding,PCDH11Y
ENSG00000099783,protein_coding,HNRNPM
ENSG00000099785,protein_coding,MARCH2
ENSG00000099795,protein_coding,NDUFB7
ENSG00000099797,protein_coding,TECR
ENSG00000099800,protein_coding,TIMM13
ENSG00000099804,protein_coding,CDC34
ENSG00000099814,protein_coding,CEP170B
ENSG00000099817,protein_coding,POLR2E
ENSG00000099821,protein_coding,POLRMT
ENSG00000099822,protein_coding,HCN2
ENSG00000099840,protein_coding,IZUMO4
ENSG00000099849,protein_coding,RASSF7
ENSG00000099860,protein_coding,GADD45B
ENSG00000099864,protein_coding,PALM
ENSG00000099866,protein_coding,MADCAM1
ENSG00000099875,protein_coding,MKNK2
ENSG00000099889,protein_coding,ARVCF
ENSG00000099899,protein_coding,TRMT2A
ENSG00000099901,protein_coding,RANBP1
ENSG00000099904,protein_coding,ZDHHC8
ENSG00000099910,protein_coding,KLHL22
ENSG00000099917,protein_coding,MED15
ENSG00000099937,protein_coding,SERPIND1
ENSG00000099940,protein_coding,SNAP29
ENSG00000099942,protein_coding,CRKL
ENSG00000099949,protein_coding,LZTR1
ENSG00000099954,protein_coding,CECR2
ENSG00000099956,protein_coding,SMARCB1
ENSG00000099957,protein_coding,P2RX6
ENSG00000099960,protein_coding,SLC7A4
ENSG00000099968,protein_coding,BCL2L13
ENSG00000099977,protein_coding,DDT
ENSG00000099984,polymorphic_pseudogene,GSTT2
ENSG00000099991,protein_coding,CABIN1
ENSG00000099992,protein_coding,TBC1D10A
ENSG00000099995,protein_coding,SF3A1
ENSG00000099998,protein_coding,GGT5
ENSG00000099999,protein_coding,RNF215
ENSG00000100003,protein_coding,SEC14L2
ENSG00000100023,protein_coding,PPIL2
ENSG00000100024,protein_coding,UPB1
ENSG00000100027,protein_coding,YPEL1
ENSG00000100028,protein_coding,SNRPD3
ENSG00000100029,protein_coding,PES1
ENSG00000100030,protein_coding,MAPK1
ENSG00000100031,protein_coding,GGT1
ENSG00000100033,protein_coding,PRODH
ENSG00000100034,protein_coding,PPM1F
ENSG00000100036,protein_coding,SLC35E4
ENSG00000100038,protein_coding,TOP3B
ENSG00000100055,protein_coding,CYTH4
ENSG00000100056,protein_coding,ESS2
ENSG00000100068,protein_coding,LRP5L
ENSG00000100075,protein_coding,SLC25A1
ENSG00000100077,protein_coding,GRK3
ENSG00000100083,protein_coding,GGA1
ENSG00000100084,protein_coding,HIRA
ENSG00000100092,protein_coding,SH3BP1
ENSG00000100095,protein_coding,SEZ6L
ENSG00000100097,protein_coding,LGALS1
ENSG00000100099,protein_coding,HPS4
ENSG00000100100,protein_coding,PIK3IP1
ENSG00000100101,protein_coding,Z83844.1
ENSG00000100104,protein_coding,SRRD
ENSG00000100105,protein_coding,PATZ1
ENSG00000100109,protein_coding,TFIP11
ENSG00000100116,protein_coding,GCAT
ENSG00000100124,protein_coding,ANKRD54
ENSG00000100129,protein_coding,EIF3L
ENSG00000100138,protein_coding,SNU13
ENSG00000100139,protein_coding,MICALL1
ENSG00000100142,protein_coding,POLR2F
ENSG00000100146,protein_coding,SOX10
ENSG00000100147,protein_coding,CCDC134
ENSG00000100150,protein_coding,DEPDC5
ENSG00000100151,protein_coding,PICK1
ENSG00000100154,protein_coding,TTC28
ENSG00000100156,protein_coding,SLC16A8
ENSG00000100167,protein_coding,SEPTIN3
ENSG00000100170,protein_coding,SLC5A1
ENSG00000100181,transcribed_unprocessed_pseudogene,TPTEP1
ENSG00000100191,protein_coding,SLC5A4
ENSG00000100196,protein_coding,KDELR3
ENSG00000100197,protein_coding,CYP2D6
ENSG00000100201,protein_coding,DDX17
ENSG00000100206,protein_coding,DMC1
ENSG00000100207,protein_coding,TCF20
ENSG00000100209,protein_coding,HSCB
ENSG00000100211,protein_coding,CBY1
ENSG00000100216,protein_coding,TOMM22
ENSG00000100218,protein_coding,RSPH14
ENSG00000100219,protein_coding,XBP1
ENSG00000100220,protein_coding,RTCB
ENSG00000100221,protein_coding,JOSD1
ENSG00000100225,protein_coding,FBXO7
ENSG00000100226,protein_coding,GTPBP1
ENSG00000100227,protein_coding,POLDIP3
ENSG00000100228,protein_coding,RAB36
ENSG00000100234,protein_coding,TIMP3
ENSG00000100239,protein_coding,PPP6R2
ENSG00000100241,protein_coding,SBF1
ENSG00000100242,protein_coding,SUN2
ENSG00000100243,protein_coding,CYB5R3
ENSG00000100258,protein_coding,LMF2
ENSG00000100263,protein_coding,RHBDD3
ENSG00000100266,protein_coding,PACSIN2
ENSG00000100271,protein_coding,TTLL1
ENSG00000100276,protein_coding,RASL10A
ENSG00000100280,protein_coding,AP1B1
ENSG00000100281,protein_coding,HMGXB4
ENSG00000100284,protein_coding,TOM1
ENSG00000100285,protein_coding,NEFH
ENSG00000100288,protein_coding,CHKB
ENSG00000100292,protein_coding,HMOX1
ENSG00000100294,protein_coding,MCAT
ENSG00000100296,protein_coding,THOC5
ENSG00000100297,protein_coding,MCM5
ENSG00000100298,protein_coding,APOBEC3H
ENSG00000100299,protein_coding,ARSA
ENSG00000100300,protein_coding,TSPO
ENSG00000100302,protein_coding,RASD2
ENSG00000100304,protein_coding,TTLL12
ENSG00000100307,protein_coding,CBX7
ENSG00000100311,protein_coding,PDGFB
ENSG00000100314,protein_coding,CABP7
ENSG00000100316,protein_coding,RPL3
ENSG00000100319,protein_coding,ZMAT5
ENSG00000100320,protein_coding,RBFOX2
ENSG00000100321,protein_coding,SYNGR1
ENSG00000100324,protein_coding,TAB1
ENSG00000100325,protein_coding,ASCC2
ENSG00000100330,protein_coding,MTMR3
ENSG00000100335,protein_coding,MIEF1
ENSG00000100341,protein_coding,PNPLA5
ENSG00000100344,protein_coding,PNPLA3
ENSG00000100345,protein_coding,MYH9
ENSG00000100346,protein_coding,CACNA1I
ENSG00000100347,protein_coding,SAMM50
ENSG00000100348,protein_coding,TXN2
ENSG00000100350,protein_coding,FOXRED2
ENSG00000100351,protein_coding,GRAP2
ENSG00000100353,protein_coding,EIF3D
ENSG00000100354,protein_coding,TNRC6B
ENSG00000100359,protein_coding,SGSM3
ENSG00000100360,protein_coding,IFT27
ENSG00000100362,protein_coding,PVALB
ENSG00000100364,protein_coding,KIAA0930
ENSG00000100372,protein_coding,SLC25A17
ENSG00000100376,protein_coding,FAM118A
ENSG00000100379,protein_coding,KCTD17
ENSG00000100380,protein_coding,ST13
ENSG00000100387,protein_coding,RBX1
ENSG00000100393,protein_coding,EP300
ENSG00000100395,protein_coding,L3MBTL2
ENSG00000100399,protein_coding,CHADL
ENSG00000100401,protein_coding,RANGAP1
ENSG00000100403,protein_coding,ZC3H7B
ENSG00000100410,protein_coding,PHF5A
ENSG00000100412,protein_coding,ACO2
ENSG00000100413,protein_coding,POLR3H
ENSG00000100416,protein_coding,TRMU
ENSG00000100417,protein_coding,PMM1
ENSG00000100418,protein_coding,DESI1
ENSG00000100422,protein_coding,CERK
ENSG00000100425,protein_coding,BRD1
ENSG00000100426,protein_coding,ZBED4
ENSG00000100427,protein_coding,MLC1
ENSG00000100429,protein_coding,HDAC10
ENSG00000100433,protein_coding,KCNK10
ENSG00000100439,protein_coding,ABHD4
ENSG00000100441,protein_coding,KHNYN
ENSG00000100442,protein_coding,FKBP3
ENSG00000100445,protein_coding,SDR39U1
ENSG00000100450,protein_coding,GZMH
ENSG00000100453,protein_coding,GZMB
ENSG00000100461,protein_coding,RBM23
ENSG00000100462,protein_coding,PRMT5
ENSG00000100473,protein_coding,COCH
ENSG00000100478,protein_coding,AP4S1
ENSG00000100479,protein_coding,POLE2
ENSG00000100483,protein_coding,VCPKMT
ENSG00000100485,protein_coding,SOS2
ENSG00000100490,protein_coding,CDKL1
ENSG00000100503,protein_coding,NIN
ENSG00000100504,protein_coding,PYGL
ENSG00000100505,protein_coding,TRIM9
ENSG00000100519,protein_coding,PSMC6
ENSG00000100522,protein_coding,GNPNAT1
ENSG00000100523,protein_coding,DDHD1
ENSG00000100526,protein_coding,CDKN3
ENSG00000100528,protein_coding,CNIH1
ENSG00000100532,protein_coding,CGRRF1
ENSG00000100554,protein_coding,ATP6V1D
ENSG00000100564,protein_coding,PIGH
ENSG00000100567,protein_coding,PSMA3
ENSG00000100568,protein_coding,VTI1B
ENSG00000100575,protein_coding,TIMM9
ENSG00000100577,protein_coding,GSTZ1
ENSG00000100578,protein_coding,KIAA0586
ENSG00000100580,protein_coding,TMED8
ENSG00000100583,protein_coding,SAMD15
ENSG00000100591,protein_coding,AHSA1
ENSG00000100592,protein_coding,DAAM1
ENSG00000100596,protein_coding,SPTLC2
ENSG00000100599,protein_coding,RIN3
ENSG00000100600,protein_coding,LGMN
ENSG00000100601,protein_coding,ALKBH1
ENSG00000100603,protein_coding,SNW1
ENSG00000100604,protein_coding,CHGA
ENSG00000100605,protein_coding,ITPK1
ENSG00000100612,protein_coding,DHRS7
ENSG00000100614,protein_coding,PPM1A
ENSG00000100625,protein_coding,SIX4
ENSG00000100626,protein_coding,GALNT16
ENSG00000100628,protein_coding,ASB2
ENSG00000100629,protein_coding,CEP128
ENSG00000100632,protein_coding,ERH
ENSG00000100644,protein_coding,HIF1A
ENSG00000100647,protein_coding,SUSD6
ENSG00000100650,protein_coding,SRSF5
ENSG00000100652,protein_coding,SLC10A1
ENSG00000100664,protein_coding,EIF5
ENSG00000100678,protein_coding,SLC8A3
ENSG00000100697,protein_coding,DICER1
ENSG00000100711,protein_coding,ZFYVE21
ENSG00000100714,protein_coding,MTHFD1
ENSG00000100722,protein_coding,ZC3H14
ENSG00000100726,protein_coding,TELO2
ENSG00000100731,protein_coding,PCNX1
ENSG00000100744,protein_coding,GSKIP
ENSG00000100749,protein_coding,VRK1
ENSG00000100764,protein_coding,PSMC1
ENSG00000100767,protein_coding,PAPLN
ENSG00000100796,protein_coding,PPP4R3A
ENSG00000100802,protein_coding,C14orf93
ENSG00000100804,protein_coding,PSMB5
ENSG00000100811,protein_coding,YY1
ENSG00000100813,protein_coding,ACIN1
ENSG00000100814,protein_coding,CCNB1IP1
ENSG00000100815,protein_coding,TRIP11
ENSG00000100823,protein_coding,APEX1
ENSG00000100836,protein_coding,PABPN1
ENSG00000100842,protein_coding,EFS
ENSG00000100852,protein_coding,ARHGAP5
ENSG00000100865,protein_coding,CINP
ENSG00000100883,protein_coding,SRP54
ENSG00000100884,protein_coding,CPNE6
ENSG00000100888,protein_coding,CHD8
ENSG00000100897,protein_coding,DCAF11
ENSG00000100906,protein_coding,NFKBIA
ENSG00000100908,protein_coding,EMC9
ENSG00000100911,protein_coding,PSME2
ENSG00000100916,protein_coding,BRMS1L
ENSG00000100918,protein_coding,REC8
ENSG00000100934,protein_coding,SEC23A
ENSG00000100938,protein_coding,GMPR2
ENSG00000100941,protein_coding,PNN
ENSG00000100949,protein_coding,RABGGTA
ENSG00000100968,protein_coding,NFATC4
ENSG00000100979,protein_coding,PLTP
ENSG00000100982,protein_coding,PCIF1
ENSG00000100983,protein_coding,GSS
ENSG00000100987,protein_coding,VSX1
ENSG00000100991,protein_coding,TRPC4AP
ENSG00000100994,protein_coding,PYGB
ENSG00000100997,protein_coding,ABHD12
ENSG00000101003,protein_coding,GINS1
ENSG00000101004,protein_coding,NINL
ENSG00000101017,protein_coding,CD40
ENSG00000101019,protein_coding,UQCC1
ENSG00000101040,protein_coding,ZMYND8
ENSG00000101049,protein_coding,SGK2
ENSG00000101052,protein_coding,IFT52
ENSG00000101079,protein_coding,NDRG3
ENSG00000101082,protein_coding,SLA2
ENSG00000101084,protein_coding,RAB5IF
ENSG00000101096,protein_coding,NFATC2
ENSG00000101098,protein_coding,RIMS4
ENSG00000101104,protein_coding,PABPC1L
ENSG00000101109,protein_coding,STK4
ENSG00000101126,protein_coding,ADNP
ENSG00000101132,protein_coding,PFDN4
ENSG00000101134,protein_coding,DOK5
ENSG00000101138,protein_coding,CSTF1
ENSG00000101144,protein_coding,BMP7
ENSG00000101146,protein_coding,RAE1
ENSG00000101150,protein_coding,TPD52L2
ENSG00000101152,protein_coding,DNAJC5
ENSG00000101158,protein_coding,NELFCD
ENSG00000101160,protein_coding,CTSZ
ENSG00000101161,protein_coding,PRPF6
ENSG00000101166,protein_coding,PRELID3B
ENSG00000101180,protein_coding,HRH3
ENSG00000101181,protein_coding,MTG2
ENSG00000101182,protein_coding,PSMA7
ENSG00000101187,protein_coding,SLCO4A1
ENSG00000101188,protein_coding,NTSR1
ENSG00000101189,protein_coding,MRGBP
ENSG00000101190,protein_coding,TCFL5
ENSG00000101191,protein_coding,DIDO1
ENSG00000101193,protein_coding,GID8
ENSG00000101198,protein_coding,NKAIN4
ENSG00000101199,protein_coding,ARFGAP1
ENSG00000101203,protein_coding,COL20A1
ENSG00000101204,protein_coding,CHRNA4
ENSG00000101210,protein_coding,EEF1A2
ENSG00000101216,protein_coding,GMEB2
ENSG00000101220,protein_coding,C20orf27
ENSG00000101222,protein_coding,SPEF1
ENSG00000101224,protein_coding,CDC25B
ENSG00000101230,protein_coding,ISM1
ENSG00000101236,protein_coding,RNF24
ENSG00000101246,protein_coding,ARFRP1
ENSG00000101247,protein_coding,NDUFAF5
ENSG00000101251,protein_coding,SEL1L2
ENSG00000101255,protein_coding,TRIB3
ENSG00000101265,protein_coding,RASSF2
ENSG00000101266,protein_coding,CSNK2A1
ENSG00000101282,protein_coding,RSPO4
ENSG00000101290,protein_coding,CDS2
ENSG00000101294,protein_coding,HM13
ENSG00000101298,protein_coding,SNPH
ENSG00000101310,protein_coding,SEC23B
ENSG00000101311,protein_coding,FERMT1
ENSG00000101327,protein_coding,PDYN
ENSG00000101331,protein_coding,CCM2L
ENSG00000101333,protein_coding,PLCB4
ENSG00000101335,protein_coding,MYL9
ENSG00000101336,protein_coding,HCK
ENSG00000101337,protein_coding,TM9SF4
ENSG00000101343,protein_coding,CRNKL1
ENSG00000101346,protein_coding,POFUT1
ENSG00000101347,protein_coding,SAMHD1
ENSG00000101349,protein_coding,PAK5
ENSG00000101350,protein_coding,KIF3B
ENSG00000101353,protein_coding,MROH8
ENSG00000101361,protein_coding,NOP56
ENSG00000101363,protein_coding,MANBAL
ENSG00000101365,protein_coding,IDH3B
ENSG00000101367,protein_coding,MAPRE1
ENSG00000101384,protein_coding,JAG1
ENSG00000101391,protein_coding,CDK5RAP1
ENSG00000101400,protein_coding,SNTA1
ENSG00000101407,protein_coding,TTI1
ENSG00000101412,protein_coding,E2F1
ENSG00000101413,protein_coding,RPRD1B
ENSG00000101417,protein_coding,PXMP4
ENSG00000101421,protein_coding,CHMP4B
ENSG00000101438,protein_coding,SLC32A1
ENSG00000101439,protein_coding,CST3
ENSG00000101440,protein_coding,ASIP
ENSG00000101442,protein_coding,ACTR5
ENSG00000101443,protein_coding,WFDC2
ENSG00000101444,protein_coding,AHCY
ENSG00000101445,protein_coding,PPP1R16B
ENSG00000101447,protein_coding,FAM83D
ENSG00000101452,protein_coding,DHX35
ENSG00000101457,protein_coding,DNTTIP1
ENSG00000101460,protein_coding,MAP1LC3A
ENSG00000101463,protein_coding,SYNDIG1
ENSG00000101464,protein_coding,PIGU
ENSG00000101470,protein_coding,TNNC2
ENSG00000101473,protein_coding,ACOT8
ENSG00000101474,protein_coding,APMAP
ENSG00000101489,protein_coding,CELF4
ENSG00000101493,protein_coding,ZNF516
ENSG00000101542,protein_coding,CDH20
ENSG00000101544,protein_coding,ADNP2
ENSG00000101557,protein_coding,USP14
ENSG00000101558,protein_coding,VAPA
ENSG00000101574,protein_coding,METTL4
ENSG00000101577,protein_coding,LPIN2
ENSG00000101596,protein_coding,SMCHD1
ENSG00000101605,protein_coding,MYOM1
ENSG00000101608,protein_coding,MYL12A
ENSG00000101624,protein_coding,CEP76
ENSG00000101638,protein_coding,ST8SIA5
ENSG00000101639,protein_coding,CEP192
ENSG00000101654,protein_coding,RNMT
ENSG00000101665,protein_coding,SMAD7
ENSG00000101680,protein_coding,LAMA1
ENSG00000101695,protein_coding,RNF125
ENSG00000101745,protein_coding,ANKRD12
ENSG00000101746,protein_coding,NOL4
ENSG00000101751,protein_coding,POLI
ENSG00000101752,protein_coding,MIB1
ENSG00000101773,protein_coding,RBBP8
ENSG00000101782,protein_coding,RIOK3
ENSG00000101811,protein_coding,CSTF2
ENSG00000101842,protein_coding,VSIG1
ENSG00000101843,protein_coding,PSMD10
